supplier,region,fiscal_year,fiscal_quarter,latest_q_dispatch_MT,trailing_4q_avg_MT,our_share_pct,decline_risk,risk_band,forecast_next_q_MT,expected_next_q_MT
Nathan Industries,Peravurani,2027,FQ1,35.0,17.75,0.0,0.365,Low,20.7,14.8
RBS Fiber,Kangeyam,2027,FQ1,50.0,12.5,0.0,0.365,Low,12.4,9.0
Gowtham Coir,Kangeyam,2027,FQ1,86.0,65.0,0.0,0.364,Low,64.3,46.8
SVF Coco peat,Pollachi,2027,FQ1,141.0,151.5,46.809,0.363,Low,80.8,65.2
Aarudra Coco Products,Madurai,2027,FQ1,61.0,51.75,0.0,0.363,Low,56.2,40.5
Ananya Coco Pith,Madurai,2027,FQ1,51.0,36.75,0.0,0.363,Low,39.9,28.7
Arul Jothi Fibers,Kangeyam,2027,FQ1,84.0,88.25,0.0,0.362,Low,87.3,63.7
Palanimurugan Coir,Kangeyam,2027,FQ1,320.0,410.0,0.0,0.362,Low,405.6,296.0
Raja Coir,Pollachi,2027,FQ1,197.0,125.75,12.183,0.361,Low,67.1,54.2
Aarha Export - Nochodampatti,Madurai,2027,FQ1,102.0,92.25,0.0,0.36,Low,100.1,72.3
KCA Fiber Industries,Kangeyam,2027,FQ1,45.0,11.25,0.0,0.36,Low,11.1,8.1
Amogam Exports,Madurai,2027,FQ1,106.0,82.0,0.0,0.36,Low,89.0,64.4
Sri Arunachala Coir,Kangeyam,2027,FQ1,75.0,124.5,0.0,0.359,Low,123.2,90.1
Jai Vishnu Coirs,Kangeyam,2027,FQ1,125.0,93.5,0.0,0.359,Low,92.5,67.7
Muthu Viravan Coco Fiber,Peravurani,2027,FQ1,79.0,58.5,0.0,0.359,Low,68.2,49.0
P.S Pith Block,Kangeyam,2027,FQ1,200.0,293.5,50.0,0.359,Low,290.4,212.6
Uthis Coir,Pollachi,2027,FQ1,45.0,16.75,44.444,0.358,Low,8.9,7.2
Sri Shakthi Coirs,Kangeyam,2027,FQ1,66.0,93.5,36.364,0.358,Low,92.5,67.8
VICTORY Coir,Pollachi,2027,FQ1,19.0,44.75,100.0,0.358,Low,23.9,19.4
SR fibre,Kangeyam,2027,FQ1,49.0,47.5,0.0,0.357,Low,47.0,34.4
Sri Vishnu Fibre Unit,Pollachi,2027,FQ1,297.0,280.0,8.418,0.357,Low,149.3,121.0
Evergreen Fiber,Peravurani,2027,FQ1,79.0,52.75,0.0,0.356,Low,61.5,44.3
Sree K.S Fibres,Kangeyam,2027,FQ1,199.0,203.5,25.126,0.356,Low,201.3,147.8
Amsaraja Fiber,Madurai,2027,FQ1,86.0,72.5,0.0,0.355,Low,78.7,57.2
Mattai Murgan Fibers,Madurai,2027,FQ1,124.0,125.25,0.0,0.355,Low,136.0,98.9
Sumathi Coir Industry,Salem,2027,FQ1,100.0,49.75,0.0,0.354,Low,44.8,33.3
MICHEL COIR,Madurai,2027,FQ1,55.0,54.0,30.909,0.354,Low,58.6,42.6
Cumbum Fibers,Madurai,2027,FQ1,91.0,62.5,0.0,0.352,Low,67.8,49.4
Jeena Exports,Madurai,2027,FQ1,44.0,20.5,0.0,0.352,Low,22.3,16.3
Brown Hills Enterprises,Kangeyam,2027,FQ1,76.0,99.5,34.211,0.351,Low,98.4,72.6
SS Coir,Kangeyam,2027,FQ1,148.0,145.75,0.0,0.351,Low,144.2,106.4
AVM Hydro Farming Products,Pollachi,2027,FQ1,159.0,71.0,0.0,0.35,Low,37.9,30.9
Sri Mahalakshmi Coco Product,Pollachi,2027,FQ1,154.0,101.5,26.623,0.349,Low,54.1,44.1
Anudeep Coir,Kangeyam,2027,FQ1,100.0,53.0,0.0,0.348,Low,52.4,38.8
Sri Ram Fibres,Pollachi,2027,FQ1,73.0,110.5,100.0,0.347,Low,58.9,48.1
JK Pith Industry,Peravurani,2027,FQ1,89.0,57.0,0.0,0.347,Low,66.5,48.4
JK Coirs (LEC),Madurai,2027,FQ1,161.0,156.0,0.0,0.345,Low,169.3,124.4
MUM Fibers,Peravurani,2027,FQ1,143.0,123.5,0.0,0.343,Low,144.0,105.2
Sri Ram Guru Coir,Kangeyam,2027,FQ1,160.0,119.75,0.0,0.343,Low,118.5,88.1
Go Green Coir,Salem,2027,FQ1,192.0,133.75,9.375,0.341,Low,120.6,90.9
Veerakumara Coir,Pollachi,2027,FQ1,24.0,24.75,100.0,0.341,Low,13.2,10.8
Sri Anoor Fibers,Kangeyam,2027,FQ1,313.0,279.25,14.058,0.34,Low,276.3,206.0
Jairithanya Coir,Pollachi,2027,FQ1,126.0,98.25,59.524,0.34,Low,52.4,42.9
Sai Coirs,Kangeyam,2027,FQ1,94.0,53.5,0.0,0.339,Low,52.9,39.5
Athanur Amman Coir,Kangeyam,2027,FQ1,167.0,153.0,14.371,0.339,Low,151.4,113.1
Jothi Coir,Peravurani,2027,FQ1,92.0,49.25,0.0,0.338,Low,57.4,42.2
Arulperumjothi Fibers,Kangeyam,2027,FQ1,75.0,31.0,0.0,0.338,Low,30.7,23.0
VKA Agro products,Kangeyam,2027,FQ1,245.0,321.5,29.388,0.337,Low,318.1,237.9
Sri Venkateswara Fibres,Pollachi,2027,FQ1,289.0,167.25,0.0,0.337,Low,89.2,73.2
Victor Coco Pith,Madurai,2027,FQ1,76.0,61.0,21.053,0.337,Low,66.2,49.0
MSD Coir,Madurai,2027,FQ1,62.0,72.25,41.935,0.337,Low,78.4,58.1
CS Coir,Kangeyam,2027,FQ1,263.0,225.25,0.0,0.336,Low,222.8,166.8
Raghavaa Fibre,Kangeyam,2027,FQ1,70.0,82.0,34.286,0.336,Low,81.1,60.7
India Coirs,Kangeyam,2027,FQ1,371.0,345.25,5.93,0.336,Low,341.6,255.8
Shivanni Coirs,Pollachi,2027,FQ1,593.0,548.25,0.0,0.335,Low,292.4,240.3
Sabari Coir,Madurai,2027,FQ1,232.0,275.25,31.897,0.335,Low,298.8,221.7
Anjaneya Coir,Madurai,2027,FQ1,140.0,112.0,0.0,0.334,Low,121.6,90.3
Natural Coir Co,Pollachi,2027,FQ1,283.0,174.0,21.908,0.334,Low,92.8,76.4
Anuradha Coir,Madurai,2027,FQ1,154.0,109.5,0.0,0.333,Low,118.9,88.4
L Hari Prakesh,Pollachi,2027,FQ1,177.0,101.5,19.209,0.333,Low,54.1,44.5
VV Curld Coir,Pollachi,2027,FQ1,45.0,41.75,100.0,0.332,Low,22.3,18.4
Srinivasa Coco Products,Madurai,2027,FQ1,285.0,281.25,0.0,0.332,Low,305.3,227.2
Modern Fibers,Madurai,2027,FQ1,143.0,109.5,0.0,0.331,Low,118.9,88.6
Velaa Fibres,Kangeyam,2027,FQ1,21.0,74.5,100.0,0.331,Low,73.7,55.5
Aarudhra Agro,Pollachi,2027,FQ1,20.0,5.0,100.0,0.33,Low,2.7,2.2
Aahash Coir Products,Madurai,2027,FQ1,161.0,169.0,30.435,0.329,Low,183.4,137.0
TS Ashok Kumar Fibers (HEC),Madurai,2027,FQ1,242.0,219.0,0.0,0.327,Low,237.7,177.8
Siva Selvi Fibers,Kangeyam,2027,FQ1,625.0,702.169,12.0,0.326,Low,694.7,525.2
SAS Coco industries,Peravurani,2027,FQ1,131.0,87.75,10.687,0.326,Low,102.3,76.1
Mariah Coirs,Madurai,2027,FQ1,72.0,62.0,31.944,0.326,Low,67.3,50.4
Natraj Fibre,Kangeyam,2027,FQ1,294.0,243.5,0.0,0.325,Low,240.9,182.4
MMM Coir,Kangeyam,2027,FQ1,292.0,304.0,0.0,0.325,Low,300.8,227.8
Eligro Substrate Pvt Ltd,Madurai,2027,FQ1,110.0,61.25,0.0,0.323,Low,66.5,50.0
Selvam Coirs,Kangeyam,2027,FQ1,97.0,59.25,23.711,0.323,Low,58.6,44.5
Arun Coir Exime,Kangeyam,2027,FQ1,448.0,493.0,16.518,0.322,Low,487.7,370.4
Milman Coir Export,Salem,2027,FQ1,174.0,84.5,0.0,0.322,Low,76.2,58.5
Sarvana Gugan Coirs,Kangeyam,2027,FQ1,398.0,441.25,12.06,0.322,Low,436.5,331.5
Karvembu Coir,Kangeyam,2027,FQ1,119.0,86.0,36.975,0.322,Low,85.1,64.6
Anbu Fiber,Madurai,2027,FQ1,150.0,97.0,0.0,0.321,Low,105.3,79.2
V Coir,Peravurani,2027,FQ1,128.0,70.0,0.0,0.321,Low,81.6,61.0
ATA Coir,Pollachi,2027,FQ1,119.0,66.25,58.824,0.32,Low,35.3,29.3
Om Sakthi Fiber,Peravurani,2027,FQ1,24.0,133.75,100.0,0.319,Low,155.9,116.8
KMMR Industries,Madurai,2027,FQ1,147.0,124.75,13.605,0.319,Low,135.4,102.2
Abirami Fibres,Peravurani,2027,FQ1,89.0,39.5,13.483,0.316,Low,46.1,34.7
Vishu Fibers,Pollachi,2027,FQ1,160.0,96.25,56.25,0.316,Low,51.3,42.7
Thraviyam Coco Products,Madurai,2027,FQ1,92.0,36.5,0.0,0.316,Low,39.6,30.0
Almighty Fibres,Madurai,2027,FQ1,265.0,215.25,0.0,0.315,Low,233.7,177.1
Classic Coir india,Kangeyam,2027,FQ1,174.0,188.75,58.046,0.315,Low,186.7,142.8
KPS Amman Fiber,Pollachi,2027,FQ1,331.0,225.0,0.0,0.313,Low,120.0,100.0
Hayagreever Coirs,Kangeyam,2027,FQ1,418.0,430.0,5.502,0.312,Low,425.4,326.1
Radient Coir,Kangeyam,2027,FQ1,170.0,157.0,41.176,0.312,Low,155.3,119.1
Sivamayam Fibers,Kangeyam,2027,FQ1,117.0,79.0,21.368,0.311,Low,78.2,60.0
Thuran Coir Mills,Pollachi,2027,FQ1,120.0,34.25,0.0,0.311,Low,18.3,15.3
Sri V Rangasamy Agencies,Kangeyam,2027,FQ1,184.0,119.5,0.0,0.31,Low,118.2,90.8
VMM Coco,Madurai,2027,FQ1,115.0,107.5,59.13,0.31,Low,116.7,88.8
Ten Star Coir Pith Block,Pollachi,2027,FQ1,295.0,201.25,15.593,0.31,Low,107.3,89.6
SJ Bio Root Coir,Kangeyam,2027,FQ1,122.0,73.25,40.984,0.31,Low,72.5,55.7
Sri Hari Fiber,Kangeyam,2027,FQ1,217.0,180.25,22.12,0.308,Low,178.3,137.2
BN Coirs,Madurai,2027,FQ1,142.0,85.25,13.38,0.306,Low,92.5,70.7
Meenakchi Fiber,Salem,2027,FQ1,300.0,189.0,0.0,0.306,Low,170.4,132.8
PR Export,Kangeyam,2027,FQ1,272.0,313.25,8.824,0.305,Low,309.9,239.2
Senthil Vinayaga Coirs,Peravurani,2027,FQ1,149.0,72.5,0.0,0.302,Low,84.5,64.5
SHREE VETRRI VINAYAGAR FIBRES,Pollachi,2027,FQ1,323.0,233.5,30.341,0.301,Low,124.5,104.6
Sri Ganapathi Fibres,Kangeyam,2027,FQ1,150.0,172.5,83.333,0.3,Low,170.7,132.5
Sri Ponkalaiamman Fibers,Salem,2027,FQ1,186.0,198.25,100.0,0.299,Low,178.7,140.1
Dhanalakshmi Coir,Pollachi,2027,FQ1,161.0,99.25,61.491,0.298,Low,52.9,44.5
Vijayalakshmi Fibres,Pollachi,2027,FQ1,112.0,90.0,100.0,0.298,Low,48.0,40.4
Gogulkrishna coir Export,Pollachi,2027,FQ1,248.0,158.5,19.355,0.297,Low,84.5,71.2
Sri Omkara Traders,Pollachi,2027,FQ1,280.0,132.5,0.0,0.296,Low,70.7,59.6
Coco Craft,Madurai,2027,FQ1,148.0,121.5,16.892,0.292,Low,131.9,102.3
PK Coco Fibre,Kangeyam,2027,FQ1,65.0,42.25,69.231,0.291,Low,41.8,32.7
AL-Matin Coir Exports,Madurai,2027,FQ1,58.0,34.5,62.069,0.289,Low,37.4,29.1
Muthukumar Fiber,Madurai,2027,FQ1,16.0,26.0,100.0,0.287,Low,28.2,22.0
Palaniyanadvar Pith Block,Kangeyam,2027,FQ1,573.0,668.669,44.503,0.286,Low,661.5,520.0
Thirukumaran Fibers,Pollachi,2027,FQ1,745.0,755.669,0.0,0.286,Low,403.0,341.7
Global Coco,Kangeyam,2027,FQ1,226.0,194.0,45.133,0.286,Low,191.9,150.9
Udyam Coirs,Kangeyam,2027,FQ1,75.0,23.75,33.333,0.283,Low,23.5,18.5
Menachi Coir,Pollachi,2027,FQ1,166.0,112.5,84.94,0.283,Low,60.0,51.0
Veera Coir,Madurai,2027,FQ1,84.0,83.75,100.0,0.281,Low,90.9,71.2
Annai Fibers,Madurai,2027,FQ1,10.0,5.0,100.0,0.28,Low,5.4,4.2
Krishna Fibers,Kangeyam,2027,FQ1,26.0,18.75,100.0,0.28,Low,18.5,14.6
Selvakarthipan Fibres,Kangeyam,2027,FQ1,100.0,80.25,75.0,0.279,Low,79.4,62.8
Mahalakshmi Fiber,Kangeyam,2027,FQ1,198.0,92.75,0.0,0.279,Low,91.8,72.6
AP Agro,Pollachi,2027,FQ1,169.0,126.25,100.0,0.277,Low,67.3,57.4
Rani Coir,Kangeyam,2027,FQ1,120.0,35.0,0.0,0.276,Low,34.6,27.5
Surya Coir,Kangeyam,2027,FQ1,82.0,63.5,69.512,0.275,Low,62.8,49.9
RM Coconut Marchent,Madurai,2027,FQ1,101.0,106.0,87.129,0.275,Low,115.1,90.8
Ayangaran Coirs,Madurai,2027,FQ1,41.0,40.25,100.0,0.274,Low,43.7,34.5
Kaaruniya Coir Industries,Madurai,2027,FQ1,22.0,16.75,100.0,0.268,Low,18.2,14.4
Bhakiyam Fibers,Madurai,2027,FQ1,151.0,121.25,59.603,0.268,Low,131.6,104.4
Selva coco Fibre,Salem,2027,FQ1,424.0,320.25,5.896,0.268,Low,288.7,232.8
Aakavi Coir,Kangeyam,2027,FQ1,72.0,73.0,100.0,0.267,Low,72.2,57.8
Hyther Ali Coconut Merchant,Madurai,2027,FQ1,42.0,38.5,100.0,0.267,Low,41.8,33.2
JPM Coirs,Madurai,2027,FQ1,74.0,76.5,100.0,0.266,Low,83.0,66.0
Ganesh Coirs,Kangeyam,2027,FQ1,48.0,42.25,100.0,0.265,Low,41.8,33.5
Karthika Coirs (70-30),Madurai,2027,FQ1,454.0,411.0,9.692,0.265,Low,446.1,355.2
Kalpathur Substrate,Pollachi,2027,FQ1,272.0,115.667,45.221,0.263,Low,61.7,53.1
Sai Balaji Coir,Kangeyam,2027,FQ1,250.0,268.0,10.0,0.262,Low,265.1,213.2
Bio Thermal,Kangeyam,2027,FQ1,525.0,450.0,0.0,0.261,Low,445.2,358.4
Sri Krishna Fibres,Madurai,2027,FQ1,283.0,219.5,28.975,0.259,Low,238.3,190.8
Sri Annamalayar Coirs,Kangeyam,2027,FQ1,318.0,123.0,0.0,0.256,Low,121.7,98.4
Anand Coir,Peravurani,2027,FQ1,323.0,223.75,19.814,0.254,Low,260.9,208.9
Jayam Coir,Kangeyam,2027,FQ1,61.0,67.5,100.0,0.25,Low,66.8,54.3
Ganapathy Fibers,Pollachi,2027,FQ1,419.0,297.25,35.561,0.249,Low,158.5,137.5
SS FIBERS & COIRS,Madurai,2027,FQ1,72.0,39.75,88.889,0.249,Low,43.1,34.8
RS Coir,Kangeyam,2027,FQ1,325.0,161.25,0.0,0.248,Low,159.5,130.0
Raja Fibre Industry,Salem,2027,FQ1,472.0,331.75,4.661,0.245,Low,299.0,246.0
Siva Sanju Fibers (LEC),Madurai,2027,FQ1,470.0,384.0,0.0,0.245,Low,416.8,338.4
Winner Coirs,Pollachi,2027,FQ1,547.0,421.75,8.775,0.244,Low,224.9,195.8
S J Coir,Madurai,2027,FQ1,194.0,105.25,53.608,0.243,Low,114.2,92.9
Barani Fibers,Kangeyam,2027,FQ1,146.0,120.25,100.0,0.239,Low,119.0,97.7
RP Pith Blocks,Madurai,2027,FQ1,284.0,194.0,44.718,0.238,Low,210.6,172.1
Srinivasa Agro Products,Madurai,2027,FQ1,370.0,308.25,10.811,0.235,Low,334.6,274.1
Deva Coir,Kangeyam,2027,FQ1,301.0,213.0,10.299,0.235,Low,210.7,173.7
Sri Palaniyandavar Fibres,Kangeyam,2027,FQ1,400.0,371.25,62.5,0.234,Low,367.3,303.2
Vishnu Fibres,Kangeyam,2027,FQ1,292.0,206.5,91.438,0.226,Low,204.3,169.9
Ramesh Coir,Kangeyam,2027,FQ1,235.0,181.25,62.979,0.224,Low,179.3,149.2
Sri Annamar Fibres,Kangeyam,2027,FQ1,226.0,180.0,100.0,0.223,Low,178.1,148.4
Ganesan Coco Product,Salem,2027,FQ1,419.0,220.25,6.444,0.211,Low,198.5,168.3
Narayana Coirs,Salem,2027,FQ1,500.0,296.0,5.0,0.207,Low,266.8,226.9
Anathi Fiber,Madurai,2027,FQ1,494.0,324.0,0.0,0.205,Low,351.7,296.1
Iniya Coir,Kangeyam,2027,FQ1,836.0,780.337,49.761,0.203,Low,772.0,654.8
PNK Coir,Kangeyam,2027,FQ1,285.0,199.0,82.807,0.202,Low,196.9,167.1
Dhananya Coir,Kangeyam,2027,FQ1,527.0,403.75,18.975,0.192,Low,399.4,342.1
Sri Kandiyamman Fibres,Kangeyam,2027,FQ1,523.0,470.0,71.319,0.191,Low,465.0,398.5
Brown Spring,Kangeyam,2027,FQ1,420.0,358.0,23.095,0.189,Low,354.2,304.0
Ganapathy Coir,Kangeyam,2027,FQ1,428.0,169.25,0.0,0.182,Low,167.4,144.6
Thulasiamman Coir Industry,Salem,2027,FQ1,670.0,397.75,0.0,0.161,Low,358.5,316.7
SS Fibre,Kangeyam,2027,FQ1,544.0,254.5,36.949,0.146,Low,251.8,224.3
Sri Ragavendra Coir Products,Pollachi,2027,FQ1,945.675,653.919,13.218,0.144,Low,348.7,322.1
Sri Kumaran Coirs,Kangeyam,2027,FQ1,569.0,255.0,17.399,0.129,Low,252.3,227.9
Amman Coir,Kangeyam,2027,FQ1,960.0,708.25,34.375,0.115,Low,700.7,640.5
